"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
"11","1","2023-11-03 04:17:01","2023-11-03 04:17:01",,"Shop",,"publish","closed","closed",,"shop",,,"2023-11-03 04:17:01","2023-11-03 04:17:01",,"0","http://137.184.5.121/trabajo/index.php/shop/","0","page",,"0"
"12","1","2023-11-03 04:17:02","2023-11-03 04:17:02","<!-- wp:shortcode -->[woocommerce_cart]<!-- /wp:shortcode -->","Cart",,"publish","closed","closed",,"cart",,,"2023-11-03 04:17:02","2023-11-03 04:17:02",,"0","http://137.184.5.121/trabajo/index.php/cart/","0","page",,"0"
"13","1","2023-11-03 04:17:02","2023-11-03 04:17:02","<!-- wp:shortcode -->[woocommerce_checkout]<!-- /wp:shortcode -->","Checkout",,"publish","closed","closed",,"checkout",,,"2023-11-03 04:17:02","2023-11-03 04:17:02",,"0","http://137.184.5.121/trabajo/index.php/checkout/","0","page",,"0"
"14","1","2023-11-03 04:17:02","2023-11-03 04:17:02","<!-- wp:shortcode -->[woocommerce_my_account]<!-- /wp:shortcode -->","My account",,"publish","closed","closed",,"my-account",,,"2023-11-03 04:17:02","2023-11-03 04:17:02",,"0","http://137.184.5.121/trabajo/index.php/my-account/","0","page",,"0"
"15","1","2023-11-03 04:17:02","0000-00-00 00:00:00","<!-- wp:paragraph -->
<p><b>This is a sample page.</b></p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<h3>Overview</h3>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Our refund and returns policy lasts 30 days. If 30 days have passed since your purchase, we can’t offer you a full refund or exchange.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>To be eligible for a return, your item must be unused and in the same condition that you received it. It must also be in the original packaging.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Several types of goods are exempt from being returned. Perishable goods such as food, flowers, newspapers or magazines cannot be returned. We also do not accept products that are intimate or sanitary goods, hazardous materials, or flammable liquids or gases.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Additional non-returnable items:</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul>
<li>Gift cards</li>
<li>Downloadable software products</li>
<li>Some health and personal care items</li>
</ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<p>To complete your return, we require a receipt or proof of purchase.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Please do not send your purchase back to the manufacturer.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>There are certain situations where only partial refunds are granted:</p>
<!-- /wp:paragraph -->

<!-- wp:list -->
<ul>
<li>Book with obvious signs of use</li>
<li>CD, DVD, VHS tape, software, video game, cassette tape, or vinyl record that has been opened.</li>
<li>Any item not in its original condition, is damaged or missing parts for reasons not due to our error.</li>
<li>Any item that is returned more than 30 days after delivery</li>
</ul>
<!-- /wp:list -->

<!-- wp:paragraph -->
<h2>Refunds</h2>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Once your return is received and inspected, we will send you an email to notify you that we have received your returned item. We will also notify you of the approval or rejection of your refund.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you are approved, then your refund will be processed, and a credit will automatically be applied to your credit card or original method of payment, within a certain amount of days.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<b>Late or missing refunds</b>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you haven’t received a refund yet, first check your bank account again.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Then contact your credit card company, it may take some time before your refund is officially posted.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Next contact your bank. There is often some processing time before a refund is posted.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you’ve done all of this and you still have not received your refund yet, please contact us at {email address}.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<b>Sale items</b>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Only regular priced items may be refunded. Sale items cannot be refunded.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<h2>Exchanges</h2>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>We only replace items if they are defective or damaged. If you need to exchange it for the same item, send us an email at {email address} and send your item to: {physical address}.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<h2>Gifts</h2>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If the item was marked as a gift when purchased and shipped directly to you, you’ll receive a gift credit for the value of your return. Once the returned item is received, a gift certificate will be mailed to you.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If the item wasn’t marked as a gift when purchased, or the gift giver had the order shipped to themselves to give to you later, we will send a refund to the gift giver and they will find out about your return.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<h2>Shipping returns</h2>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>To return your product, you should mail your product to: {physical address}.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>You will be responsible for paying for your own shipping costs for returning your item. Shipping costs are non-refundable. If you receive a refund, the cost of return shipping will be deducted from your refund.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Depending on where you live, the time it may take for your exchanged product to reach you may vary.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>If you are returning more expensive items, you may consider using a trackable shipping service or purchasing shipping insurance. We don’t guarantee that we will receive your returned item.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<h2>Need help?</h2>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Contact us at {email} for questions related to refunds and returns.</p>
<!-- /wp:paragraph -->","Refund and Returns Policy",,"draft","closed","closed",,"refund_returns",,,"2023-11-03 04:17:02","0000-00-00 00:00:00",,"0","http://137.184.5.121/trabajo/?page_id=15","0","page",,"0"
"16","1","2023-11-03 04:17:08","2023-11-03 04:17:08","<label> Your name
    [text* your-name autocomplete:name] </label>

<label> Your email
    [email* your-email autocomplete:email] </label>

<label> Subject
    [text* your-subject] </label>

<label> Your message (optional)
    [textarea your-message] </label>

[submit ""Submit""]
[_site_title] ""[your-subject]""
[_site_title] <wordpress@137.184.5.121>
From: [your-name] [your-email]
Subject: [your-subject]

Message Body:
[your-message]

-- 
This is a notification that a contact form was submitted on your website ([_site_title] [_site_url]).
[_site_admin_email]
Reply-To: [your-email]

0
0

[_site_title] ""[your-subject]""
[_site_title] <wordpress@137.184.5.121>
Message Body:
[your-message]

-- 
This email is a receipt for your contact form submission on our website ([_site_title] [_site_url]) in which your email address was used. If that was not you, please ignore this message.
[your-email]
Reply-To: [_site_admin_email]

0
0
Thank you for your message. It has been sent.
There was an error trying to send your message. Please try again later.
One or more fields have an error. Please check and try again.
There was an error trying to send your message. Please try again later.
You must accept the terms and conditions before sending your message.
Please fill out this field.
This field has a too long input.
This field has a too short input.
There was an unknown error uploading the file.
You are not allowed to upload files of this type.
The uploaded file is too large.
There was an error uploading the file.","Contact form 1",,"publish","closed","closed",,"contact-form-1",,,"2023-11-03 04:17:08","2023-11-03 04:17:08",,"0","http://137.184.5.121/trabajo/?post_type=wpcf7_contact_form&p=16","0","wpcf7_contact_form",,"0"
"17","1","2023-11-03 04:17:14","2023-11-03 04:17:14",,"Default Kit",,"publish","closed","closed",,"default-kit",,,"2023-11-03 04:17:14","2023-11-03 04:17:14",,"0","http://137.184.5.121/trabajo/?p=17","0","elementor_library",,"0"
"18","1","2023-11-03 03:18:29","2023-11-03 03:18:29","<!-- wp:paragraph -->
<p>Welcome to WordPress. This is your first post. Edit or delete it, then start writing!</p>
<!-- /wp:paragraph -->","Hello world!",,"inherit","closed","closed",,"1-revision-v1",,,"2023-11-03 03:18:29","2023-11-03 03:18:29",,"1","http://137.184.5.121/trabajo/?p=18","0","revision",,"0"
"19","1","2018-10-16 04:05:19","2018-10-16 04:05:19",,"blog-single-img-1",,"inherit","open","closed",,"blog-single-img-1",,,"2023-11-03 04:20:31","2023-11-03 04:20:31",,"831","https://woostify.com/demos/free/urbanstyle/wp-content/uploads/sites/3/2018/10/blog-single-img-1.jpg","0","attachment","image/jpeg","0"
"20","1","2018-10-16 04:05:21","2018-10-16 04:05:21",,"blog-single-img-2",,"inherit","open","closed",,"blog-single-img-2",,,"2023-11-03 04:20:31","2023-11-03 04:20:31",,"831","https://woostify.com/demos/free/urbanstyle/wp-content/uploads/sites/3/2018/10/blog-single-img-2.jpg","0","attachment","image/jpeg","0"
"21","1","2018-10-16 04:17:01","2018-10-16 04:17:01",,"blog-img-1",,"inherit","open","closed",,"blog-img-1",,,"2023-11-03 04:20:31","2023-11-03 04:20:31",,"831","https://woostify.com/demos/free/urbanstyle/wp-content/uploads/sites/3/2018/10/blog-img-1.jpg","0","attachment","image/jpeg","0"
"22","1","2018-10-16 04:17:03","2018-10-16 04:17:03",,"blog-img-2",,"inherit","open","closed",,"blog-img-2",,,"2023-11-03 04:20:31","2023-11-03 04:20:31",,"831","https://woostify.com/demos/free/urbanstyle/wp-content/uploads/sites/3/2018/10/blog-img-2.jpg","0","attachment","image/jpeg","0"
"23","1","2018-10-16 04:17:05","2018-10-16 04:17:05",,"blog-img-3",,"inherit","open","closed",,"blog-img-3",,,"2023-11-03 04:20:31","2023-11-03 04:20:31",,"831","https://woostify.com/demos/free/urbanstyle/wp-content/uploads/sites/3/2018/10/blog-img-3.jpg","0","attachment","image/jpeg","0"
"24","1","2018-10-16 04:17:06","2018-10-16 04:17:06",,"blog-img-4",,"inherit","open","closed",,"blog-img-4",,,"2023-11-03 04:20:31","2023-11-03 04:20:31",,"831","https://woostify.com/demos/free/urbanstyle/wp-content/uploads/sites/3/2018/10/blog-img-4.jpg","0","attachment","image/jpeg","0"
"38","1","2018-10-16 06:50:47","2018-10-16 06:50:47","<span style=""font-size: 18px;color: #2b2b2b"">Donec accumsan auctor iaculis. Sed suscipit arcu ligula, at egestas magna molestie a. Proin ac ex maximus, ultrices justo eget, sodales orci. Aliquam egestas libero ac turpis pharetra, in vehicula lacus scelerisque. Vestibulum ut sem laoreet.</span>

Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet ex at orci posuere ullamcorper. Maecenas at iaculis diam. Nulla sem mauris, posuere id orci eget, rutrum efficitur nisl. Fusce dapibus tincidunt dignissim. Vestibulum quis quam et quam blandit fringilla id eget lacus. Donec volutpat odio sed dignissim porttitor bibendum.
<blockquote><span style=""font-size: 18px;color: #2b2b2b"">Etiam quis interdum felis, at pellentesque metus. Morbi eget con lectus. Donec eleifend ultricies urna et euismod. Sed consectetur tellus eget odio aliquet, vel vestibulum tellus.</span>

<strong style=""color: #2b2b2b"">Lee Hari</strong> -- CEO of Woostify</blockquote>
Vestibulum viverra mi non dolor aliquet, sed mollis dolor vulputate. Proin lacus ante, aliquet a libero eget, efficitur conse quat sem. Nunc non orci leo. Sed porta massa eget ligula lacinia, in iaculis metus consequat. Sed vehicula risus at neque pharetra, nec convallis risus placerat tristique pulvinar nunc sit amet. Praesent non lectus sit amet nibh posuere tristique. Aenean et dui ut mauris dapibus venenatis.

<img class=""size-full wp-image-18 alignleft"" src=""http://137.184.5.121/trabajo/wp-content/uploads/2018/10/blog-single-img-2.jpg"" alt="""" width=""370"" height=""370"" /> Maecenas eu ante a elit tempus fermentum. Aliquam com modo tincidunt semper, phasellus accumsan. Musto ac mollis pharetra, ex dui pharetra nisl, a scelerisque ipsum nulla ac sem. Integer hendrerit egestas magna.

Pellentesque velit placerat et. Integer pulvinar dolor eu metus elementum, at commodo erat efficitur. Vivamus sol licitudin, quam a ornare vestibulum. Proin sit amet aliquet justo, et finibus neque. Etiam id massa risus.

Lorem turpis egestas magna, in lacinia felis arcu sit amet arcu. Cras eu risus urna. Duis lorem sapien, congue eget nisl sit amet, rutrum faucibus elit. Nullam non tortor massa. Proin ligula leo, hendrerit quis tincidunt a, sodales eget ligula. Donec ornare molestie vehicula. Duis feugiat iaculis. Fusce fermentum ipsum.","Studio Spring Summer Man 2017",,"publish","open","open",,"studio-spring-summer-man-2017",,,"2023-11-03 04:20:32","2023-11-03 04:20:32",,"0","https://woostify.com/demos/urbanstyle/?p=38","0","post",,"0"
"40","1","2018-10-16 06:51:43","2018-10-16 06:51:43","<span style=""font-size: 18px;color: #2b2b2b"">Donec accumsan auctor iaculis. Sed suscipit arcu ligula, at egestas magna molestie a. Proin ac ex maximus, ultrices justo eget, sodales orci. Aliquam egestas libero ac turpis pharetra, in vehicula lacus scelerisque. Vestibulum ut sem laoreet.</span>

Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque sit amet ex at orci posuere ullamcorper. Maecenas at iaculis diam. Nulla sem mauris, posuere id orci eget, rutrum efficitur nisl. Fusce dapibus tincidunt dignissim. Vestibulum quis quam et quam blandit fringilla id eget lacus. Donec volutpat odio sed dignissim porttitor bibendum.
<blockquote><span style=""font-size: 18px;color: #2b2b2b"">Etiam quis interdum felis, at pellentesque metus. Morbi eget con lectus. Donec eleifend ultricies urna et euismod. Sed consectetur tellus eget odio aliquet, vel vestibulum tellus.</span>

<strong style=""color: #2b2b2b"">Lee Hari</strong> -- CEO of Woostify</blockquote>
Vestibulum viverra mi non dolor aliquet, sed mollis dolor vulputate. Proin lacus ante, aliquet a libero eget, efficitur conse quat sem. Nunc non orci leo. Sed porta massa eget ligula lacinia, in iaculis metus consequat. Sed vehicula risus at neque pharetra, nec convallis risus placerat tristique pulvinar nunc sit amet. Praesent non lectus sit amet nibh posuere tristique. Aenean et dui ut mauris dapibus venenatis.

<img class=""size-full wp-image-18 alignleft"" src=""http://137.184.5.121/trabajo/wp-content/uploads/2018/10/blog-single-img-2.jpg"" alt="""" width=""370"" height=""370"" /> Maecenas eu ante a elit tempus fermentum. Aliquam com modo tincidunt semper, phasellus accumsan. Musto ac mollis pharetra, ex dui pharetra nisl, a scelerisque ipsum nulla ac sem. Integer hendrerit egestas magna.

Pellentesque velit placerat et. Integer pulvinar dolor eu metus elementum, at commodo erat efficitur. Vivamus sol licitudin, quam a ornare vestibulum. Proin sit amet aliquet justo, et finibus neque. Etiam id massa risus.

Lorem turpis egestas magna, in lacinia felis arcu sit amet arcu. Cras eu risus urna. Duis lorem sapien, congue eget nisl sit amet, rutrum faucibus elit. Nullam non tortor massa. Proin ligula leo, hendrerit quis tincidunt a, sodales eget ligula. Donec ornare molestie vehicula. Duis feugiat iaculis. Fusce fermentum ipsum.","Baby Boy Capsule Lookbook Has Just Arrived To Miini",,"publish","open","open",,"baby-boy-capsule-lookbook-has-just-arrived-to-miini",,,"2023-11-03 04:20:32","2023-11-03 04:20:32",,"0","https://woostify.com/demos/urbanstyle/?p=40","0","post",,"0"
